CORE,Id,Updating weight,2020,Updating weight,id,C++ weight,2020,C++ weight,id,Testing weight,2020,Testing weight,,,,,,,,,,,,,,,,,,,,
NOCORE,id,Updating weight,2020,Updating weight,id,C++ weight,2020,C++ weight,id,Testing weight,2020,Testing weight,,,,,,,,,,,,,,,,,,,,
,5445507,1,9109612,1,5445507,1,976081,1,5445507,1,42645847,1,,,,,,,,,,,,,,,,,,,,
,3109072,"0,973213000774856",1315533,"0,588235294117647",3109072,"0,766387471504588",5445507,"0,933333333333333",15943089,"0,806317844918307",5445507,"0,7",,,,,,,,,,2016,2017,2018,2019,,,,,,,
,1315533,"0,889087020709328",3109072,"0,411764705882353",432351,"0,651002417238375",9109612,"0,866666666666667",20809,"0,595757482888948",9109612,"0,5",,,,,,,,,ID 718899,"0,00%","13,19%","-46,01%","-35,22%",,,,,,,
,291301,"0,800570251777197",14026360,"0,411764705882353",9373002,"0,647314195196033",3109072,"0,666666666666667",1084056,"0,45845598498292",17013303,"0,4",,,,,,,,,ID 2512748,"0,00%","-11,45%","-75,00%","-55,17%",,,,,,,
,115237,"0,784310854860986",5445507,"0,352941176470588",976081,"0,644019698340169",6447530,"0,666666666666667",16024985,"0,361832006744997",14026360,"0,3",,,,,,,,,ID 439929,"0,00%","79,16%","-81,39%","-70,83%",,,,,,,
,677994,"0,719610092091464",18708370,"0,294117647058823",287917,"0,57551954692934",14026360,"0,6",6447530,"0,347413061514972",6447530,"0,2",,,,,,,,,ID 1443911,"0,00%","151,06%","-63,55%","-69,76%",,,,,,,
,20809,"0,659694780330913",20432815,"0,294117647058823",20809,"0,520850651132033",42645847,"0,533333333333333",3109072,"0,323283920310349",432351,"0,2",,,,,,,,,ID 899444,"0,00%","82,05%","-45,07%","-17,94%",,,,,,,
,9373002,"0,556464565502939",14309773,"0,235294117647059",3759816,"0,469391344721659",8500303,"0,466666666666667",432351,"0,306577733835831",3759816,"0,2",,,,,,,,,,,,,,,,,,,,
,495647,"0,509760013973217",45469,"0,235294117647059",6447530,"0,437601917998097",18708370,"0,4",4115643,"0,224021667696217",28031187,"0,2",,,,,,,,,,2016,2017,2018,2019,,,,,,,
,4303,"0,466752836719947",33557095,"0,235294117647059",79017,"0,363815852901851",45469,"0,4",498775,"0,221439001608156",18708370,"0,1",,,,,,,,,ID 718899,0,"13,19","-46,01","-35,22",,,,,,,
,79017,"0,421833526500388",6447530,"0,176470588235294",1315533,"0,343213406401967",205482,"0,4",115237,"0,219683503548798",37772591,"0,1",,,,,,,,,ID 2512748,0,"-11,45",-75,"-55,17",,,,,,,
,976081,"0,349890067540445",205482,"0,176470588235294",101553,"0,304379943193904",498775,"0,333333333333333",9373002,"0,211550590656491",9373002,"0,1",,,,,,,,,ID 439929,0,"79,16","-81,39","-70,83",,,,,,,
,631240,"0,340033426294909",37772591,"0,176470588235294",9109612,"0,288889488556115",432351,"0,333333333333333",1315533,"0,207158742168438",4922778,"0,1",,,,,,,,,ID 1443911,0,"151,06","-63,55","-69,76",,,,,,,
,9109612,"0,337000488619667",11332155,"0,176470588235294",567540,"0,283863024758087",4048656,"0,266666666666667",3020626,"0,169638616614104",33557095,"0,1",,,,,,,,,ID 899444,0,"82,05","-45,07","-17,94",,,,,,,
,498775,"0,297996154231875",234659,"0,117647058823529",291301,"0,24359930543463",3759816,"0,266666666666667",4923335,"0,168827433693134",9201657,"0,1",,,,,,,,,,,,,,,,,,,,
,1935767,"0,29366558389401",36894700,"0,117647058823529",8500303,"0,202980040960718",1315533,"0,2",9109612,"0,154915708794652",6487691,"0,1",,,,,,,,,,,,,,,,,,,,
,45469,"0,284699004531374",18033231,"0,117647058823529",15943089,"0,197872934464871",18033231,"0,2",677994,"0,150791186599206",3709715,"0,1",,,,,,,,,,,,,,,,,,,,
,3038254,"0,284034983177513",7135896,"0,117647058823529",677994,"0,191812809127992",43864112,"0,2",17978,"0,146362481201417",30556255,"0,1",,,,,,,,,,,,,,,,,,,,
,234659,"0,242644640378577",17013303,"0,117647058823529",4303,"0,19057819915048",731941,"0,2",3367801,"0,140013542310136",733877,"0,1",,,,,,,,,,,,,,,,,,,,
,23313266,"0,216529990917086",8500303,"0,117647058823529",234659,"0,186960860519761",37772591,"0,133333333333333",176984,"0,138570942399652",6671846,"0,1",,,,,,,,,,,,,,,,,,,,
,617481,"0,205234537346707",976081,"0,117647058823529",498775,"0,1797291666138",11332155,"0,133333333333333",495647,"0,132097252259023",1189785,"0,1",,,,,,,,,,,,,,,,,,,,
,15952,"0,202108571825255",1037138,"0,117647058823529",45469,"0,171048408862251",234659,"0,133333333333333",1189785,"0,118158417518577",2620674,"0,1",,,,,,,,,,,,,,,,,,,,
,101553,"0,194936859144954",1248501,"0,117647058823529",13093042,"0,167479221896724",17013303,"0,133333333333333",1716463,"0,11363319969005",1641578,"0,1",,,,,,,,,,,,,,,,,,,,
,567540,"0,192069982892001",459371,"0,117647058823529",426418,"0,165686513259158",96150,"0,133333333333333",194609,"0,109842894789495",49077331,"0,1",,,,,,,,,,,,,,,,,,,,
