b.idpessoa,a.idpessoa,w.total
2352663,54666,11.0
2352663,439929,104.0
2352663,10393198,6.0
2352663,4299420,25.0
2352663,17607,6.0
2352663,37303,5.0
2352663,238531,3.0
2352663,696611,27.0
2352663,8822573,75.0
2352663,598730,27.0
2352663,289174,1.0
2352663,96947,15.0
2352663,899444,31.0
2352663,718899,47.0
2352663,2512748,19.0
2352663,52195,23.0
2352663,3065230,2.0
2352663,1093990,19.0
2352663,1538624,8.0
2352663,275871,4.0
4299420,52195,3.0
4299420,899444,208.0
4299420,238531,1.0
4299420,54666,8.0
4299420,598730,33.0
4299420,10393198,5.0
4299420,1538624,69.0
4299420,1093990,6.0
4299420,275871,3.0
4299420,5952481,44.0
4299420,2352663,29.0
4299420,439929,131.0
4299420,8822573,59.0
4299420,2512748,16.0
4299420,718899,87.0
4299420,96947,48.0
10393198,8822573,157.0
10393198,5952481,33.0
10393198,1443911,3.0
10393198,718899,79.0
10393198,899444,119.0
10393198,275871,15.0
10393198,1538624,8.0
10393198,2352663,10.0
10393198,505333,11.0
10393198,439929,223.0
10393198,598730,19.0
10393198,1093990,7.0
10393198,3065230,92.0
10393198,4299420,89.0
10393198,2512748,40.0
10393198,96947,32.0
10393198,696611,12.0
10393198,17607,83.0
10393198,52195,20.0
10393198,238531,4.0
598730,899444,12.0
598730,4299420,2.0
598730,8822573,8.0
598730,2512748,4.0
598730,2352663,2.0
598730,5952481,152.0
598730,10393198,3.0
2512748,17607,45.0
2512748,96947,22.0
2512748,899444,67.0
2512748,2352663,13.0
2512748,8822573,6.0
2512748,718899,62.0
2512748,598730,2.0
2512748,54666,26.0
2512748,5952481,21.0
2512748,275871,17.0
2512748,52195,38.0
2512748,505333,3.0
2512748,289174,9.0
2512748,696611,43.0
2512748,439929,118.0
2512748,1443911,10.0
2512748,1093990,33.0
2512748,1538624,8.0
2512748,4299420,13.0
2512748,238531,14.0
2512748,10393198,25.0
439929,238531,29.0
439929,598730,12.0
439929,17607,56.0
439929,3065230,84.0
439929,1093990,73.0
439929,718899,100.0
439929,5952481,79.0
439929,4299420,61.0
439929,37303,4.0
439929,505333,10.0
439929,696611,31.0
439929,1538624,45.0
439929,10393198,11.0
439929,2512748,58.0
439929,52195,57.0
439929,289174,12.0
439929,2352663,11.0
439929,8822573,85.0
439929,96947,32.0
439929,1443911,5.0
439929,275871,52.0
439929,899444,193.0
439929,54666,58.0
505333,54666,4.0
505333,899444,43.0
505333,5952481,1.0
505333,4299420,14.0
505333,8822573,6.0
505333,718899,1.0
505333,10393198,4.0
505333,289174,36.0
505333,96947,9.0
505333,439929,26.0
289174,696611,61.0
289174,8822573,6.0
289174,1093990,33.0
289174,54666,32.0
289174,2352663,6.0
289174,899444,71.0
289174,439929,166.0
289174,1538624,3.0
289174,718899,20.0
289174,505333,75.0
289174,275871,58.0
289174,2512748,4.0
289174,238531,50.0
289174,96947,5.0
289174,37303,8.0
289174,52195,16.0
