"id";"author_id"
414972545;439929
414972545;2352663
392695292;439929
383102531;899444
380872206;8822573
360358482;18708370
414958828;899444
149666148;1538624
414958828;439929
207430709;1315533
165405775;718899
392695292;275871
383075299;456802
414958828;899444
410262727;899444
192536707;234659
406630441;899444
380872206;8822573
414958828;1315533
174926279;5140142
406686139;14309773
414905534;899444
414905534;439929
414888212;899444
414888212;899444
414854233;2352663
414854233;2352663
184835314;4303
414854233;2352663
414854233;2352663
414854233;2352663
406686139;17607
414854233;2352663
414854233;2352663
414854233;2352663
414854233;2352663
414958828;899444
192536707;234659
226374929;96947
410262727;36894700
410262727;3065230
360358482;275871
317582742;1297909
437554514;52195
414849789;2352663
410262727;3065230
383075299;567540
380872206;8822573
410262727;3065230
360358482;18708370
317539209;275871
207430709;2352663
207430709;20809
410262727;36894700
192536707;234659
410262727;3065230
392695292;439929
383075299;234659
377599328;3109072
410262727;3065230
410262727;3065230
410262727;3065230
164403696;439929
414549898;52195
377585989;4299420
207430709;8822573
70255644;287917
410260296;8822573
406686139;1315533
406686139;52195
406686139;17607
377599328;3065230
414507013;42645847
406686139;14309773
434202789;1611595
207430709;8822573
406686139;456802
406686139;456802
192536707;234659
406686139;14309773
383075299;234659
406686139;456802
413732081;45469
383075299;567540
437825717;134460
70255644;287917
406686139;14309773
406686139;456802
406686139;718899
406686139;718899
406686139;598730
406686139;456802
406686139;598730
406686139;456802
406686139;598730
172399746;439929
406686139;598730
437545042;16024985
413732081;498775
421096965;275871
406686139;14309773
281877439;14026360
398976796;14026360
434199625;275871
192536707;234659
398976796;14026360
413732081;498775
383075299;456802
406582506;8822573
380872206;8822573
383075299;567540
412868515;9201657
380872206;8822573
402608740;5445507
360358482;2512748
192536707;234659
406686139;456802
398976796;14026360
398976796;20432815
398993049;14026360
398993049;18708370
398993049;14026360
398993049;18033231
398993049;14026360
192536707;234659
398976796;20432815
398976796;899444
398976796;20432815
398932722;20432815
398932722;18033231
395030437;6447530
395030437;6447530
165405775;718899
413594266;899444
207430709;5952481
394963346;899444
192536707;234659
199875069;10393198
172733451;6306796
392387623;2512748
383075299;567540
192536707;234659
394963346;899444
394963346;4048656
394963346;899444
377585989;4299420
394963346;899444
394828242;5445507
394805766;1443911
311186171;349621
192536707;234659
394805766;718899
394805766;10602
394805766;899444
394781211;495647
394781211;495647
394781211;495647
172399746;35270620
192536707;234659
165405775;718899
394781211;5445507
394711958;1443911
394711958;14026360
394711958;275871
394711958;14026360
394711958;275871
394781211;5445507
226389045;486493
413594266;899444
207430709;8822573
394711958;899444
394711958;3065230
394711958;3065230
333187205;3109072
413087072;718899
391239513;3065230
394711958;3065230
391239513;3065230
391033076;54666
191863524;30083852
391239513;3065230
391033076;54666
377585989;42645847
207295851;10393198
412957011;8822573
192536707;234659
390762164;1443911
386958592;899444
226318261;96947
390762164;14026360
335789707;17770407
391033076;14026360
412868515;598730
386958592;439929
386958592;14309773
386958592;234659
383075299;598730
191863524;6447530
386958592;439929
165402083;275871
386958592;439929
412868515;598730
167966018;6897780
386864411;718899
383075299;598730
386958592;439929
386958592;14309773
380872206;8822573
226374929;96947
207268143;2033712
386958592;5952481
386958592;14309773
386958592;439929
386829078;2512748
386958592;14309773
386958592;439929
412868515;567540
386958592;14309773
386958592;899444
383075299;598730
380872206;8822573
349233838;598730
172341010;54666
386906831;3065230
386864411;6447530
386829078;899444
386829078;42645847
386829078;42645847
386829078;6447530
377585989;42645847
386829078;2512748
412868515;9201657
383372431;899444
386829078;42645847
386829078;42645847
207268143;4299420
383075299;598730
207067195;13121330
172341010;10933333
383372431;899444
406630441;275871
386829078;6447530
383372431;899444
378459714;15520377
165402083;275871
207067195;13121330
192536707;9109612
383372431;899444
383372431;899444
184835314;4303
383347537;718899
207067195;8822573
192536707;9109612
186710054;5192288
165402083;275871
383372431;42645847
383268841;17704638
377585989;4299420
207067195;8822573
192536707;9109612
383372431;42645847
383372431;42645847
378459714;8822573
172733451;6306796
207067195;13121330
172341010;10933333
383372431;42645847
383347537;5445507
383347537;5445507
377585989;42645847
207067195;4299420
192536707;9109612
186710054;5192288
383257360;8822573
383257360;718899
383257360;17607
378724699;3109072
207067195;13121330
192536707;9109612
186710054;5192288
184835314;4303
378631333;3065230
377585989;42645847
378561865;4299420
165402083;275871
207067195;899444
192536707;52195
378561865;2036040
378561865;4299420
378561865;4299420
378561865;899444
172341010;825219
377585989;42645847
378561865;4299420
207067195;8822573
192536707;52195
186710054;5192288
378459714;598730
378459714;598730
378459714;15520377
377585989;42645847
207067195;8822573
192536707;52195
186710054;5192288
184835314;598730
378459714;498775
378459714;45469
172341010;825219
207067195;899444
192536707;52195
184835314;598730
378370041;275871
378370041;275871
378158693;899444
378158693;42645847
207067195;8822573
192536707;52195
377585989;42645847
378158693;899444
378158693;42645847
377660334;899444
206902819;4299420
192536707;52195
378158693;42645847
378158693;42645847
378158693;899444
378158693;42645847
172341010;825219
206902819;432351
192536707;52195
377660334;4299420
377660334;899444
184835314;598730
377660334;4299420
377660334;899444
377660334;4299420
172341010;10933333
206902819;4815
377585989;42645847
377585989;3759816
377585989;3759816
377585989;42645847
377585989;4299420
164403696;10393198
377585989;42645847
131614362;54666
206902819;432351
192250959;2352663
377585989;4299420
377585989;42645847
377585989;4299420
184835314;45469
377585989;42645847
206882571;134460
377585989;4299420
377585989;4299420
377585989;4299420
377585989;4299420
377585989;4299420
377585989;4299420
192250450;899444
377585989;4299420
206882571;718899
96446704;696611
383075299;598730
377585989;4299420
377585989;4299420
377585989;42645847
206569328;718899
377585989;42645847
377585989;42645847
377585989;42645847
377585989;42645847
377585989;42645847
377585989;42645847
377532888;439929
172341010;20809
380872206;8822573
377532888;718899
377532888;718899
374172438;9109612
373721130;4299420
374099381;7135896
374011938;9109612
373799918;8822573
206569328;718899
373799918;439929
373799918;718899
373749697;50924408
373721130;4299420
373523485;54666
373721130;4299420
373559990;899444
373559990;275871
206447529;4303
192250450;899444
184835314;598730
369900344;3065230
373523485;275871
373523485;17013303
373523485;17013303
373523485;899444
206447529;1241511
192216286;899444
373523485;54666
373523485;17013303
373523485;899444
96446704;696611
373523485;899444
206447529;4303
373349376;5445507
373523485;54666
373523485;17013303
369940432;5445507
373286870;2512748
333187205;3109072
311110080;598730
305650689;3065230
206447529;1241511
192216286;439929
184835314;4303
369921528;9109612
369921528;899444
369900344;899444
369900344;33557095
330575100;456802
206447529;1241511
164403696;10393198
369900344;899444
369900344;3065230
369900344;33557095
369900344;3065230
369900344;33557095
369900344;33557095
369900344;3065230
206447529;4303
161732338;52195
369900344;3065230
369900344;33557095
369900344;8822573
369900344;33557095
365765153;495647
330575100;456802
282022255;899444
97364668;15943089
224515181;899444
206447529;1241511
369732360;899444
369732360;275871
365765153;20224954
161579737;52195
369732360;275871
365765153;20224954
226318261;96947
224510338;899444
206436323;5952481
206447529;439929
172340327;8822573
365732716;45469
365732716;45469
365560020;5445507
365560020;275871
365560020;275871
365560020;1416966
206447529;1241511
365560020;899444
106616323;275871
365560020;275871
365560020;899444
365560020;899444
365560020;720167
365560020;720167
365542232;8822573
365542232;8822573
206447529;4303
192216286;54666
174926279;20809
365542232;6487691
365526220;899444
365542232;6487691
361570562;899444
330575100;598730
320317998;439929
192189111;899444
186710054;5192288
361570562;567540
361570562;899444
361570562;899444
361570562;899444
361570562;899444
361570562;234659
206436323;5952481
70255644;287917
361570562;899444
361570562;899444
361570562;456802
361570562;567540
361570562;567540
361570562;567540
206436323;899444
192189111;20809
186710054;287917
361570562;598730
361570562;567540
184835314;598730
361570562;456802
206363315;2033712
172733451;899444
361570562;456802
361570562;567540
361570562;456802
206363315;1538624
361570562;567540
361570562;456802
361570562;234659
361570562;598730
361570562;234659
282022255;899444
171234579;5015212
206363315;1538624
383075299;598730
361570562;234659
361570562;598730
361570562;234659
361570562;234659
361570562;567540
361570562;567540
131348383;1538624
352092444;8822573
206363315;1538624
170577551;439929
361570562;567540
361570562;456802
361570562;567540
361570562;567540
361570562;598730
361570562;598730
361570562;234659
361570562;598730
361570562;234659
311110080;5445507
304873275;3065230
264589621;899444
360358482;2512748
192189111;899444
361570562;598730
361570562;567540
361570562;567540
361570562;45469
361570562;456802
330575100;456802
264589621;275871
355982410;5445507
361570562;234659
353209996;899444
352703898;718899
346853027;718899
206363315;2033712
131348383;1538624
173786146;10393198
361570562;567540
361570562;45469
361570562;45469
361570562;45469
361570562;234659
206363315;1538624
361162964;3065230
192189111;20809
186710054;287917
184835314;4303
361570562;567540
206363315;2033712
361570562;598730
361570562;567540
361570562;598730
361570562;598730
361570562;234659
206363315;9109612
131348383;1538624
361162964;13399152
361570562;567540
361570562;14026360
361570562;567540
361559884;718899
361559884;8822573
361385890;899444
281756159;8822573
206363315;9109612
361385890;42645847
361385890;42645847
361385890;718899
361179220;8822573
361162964;54666
352702079;718899
168555804;1315533
282022255;899444
361162964;54666
361162964;439929
346853027;9109612
226318261;8822573
224510338;899444
224474306;19158740
224474306;19158740
206363315;2033712
131348383;1538624
358293564;194609
361162964;54666
361162964;13399152
361162964;9109612
361162964;9109612
361162964;899444
361162964;1241511
206363315;2033712
150692099;4923335
361162964;13399152
358502688;718899
358341759;3065230
358341759;3065230
358341759;8822573
358341759;8822573
358293564;5952481
206363315;9109612
192189111;20809
358293564;5952481
70255644;287917
358209304;3759816
358209304;899444
353662064;718899
353451485;234659
352654513;5952481
330575100;598730
353451485;234659
353451485;234659
353451485;598730
212547464;5721194
353451485;598730
353451485;598730
353451485;598730
353451485;598730
224474306;1935767
184835314;598730
355982410;5445507
352654513;17013303
353451485;5952481
353451485;456802
353451485;598730
353451485;598730
349233838;456802
206363315;9109612
192189111;899444
353451485;234659
383075299;234659
173786146;505333
353451485;456802
206363315;2033712
353451485;234659
353451485;234659
353451485;234659
353451485;234659
353451485;456802
206363315;2033712
192189111;20809
353451485;598730
206855798;238531
353451485;598730
353451485;903597
167233426;439929
206258424;2352663
355982410;899444
173786146;505333
353451485;903597
